debate_number,judge_number,debate_seed,persona_seed,majority_type,belief_type,general_belief,demographic_info
1,1,1,1,majority_mainstream,mainstream,general_belief_mainstream,physically-disabled person | Religious person | African person | man | lifelong Republican
75,2,75,224,majority_mainstream,skeptical,general_belief_skeptical,able-bodied person | Christian person | Hispanic person | transgender man | lifelong Democrat
75,3,75,225,majority_mainstream,mainstream,general_belief_mainstream,physically-disabled person | Christian person | Asian person | transgender man | lifelong Republican
76,1,76,226,majority_mainstream,mainstream,general_belief_mainstream,physically-disabled person | Atheist person | Asian person | woman | lifelong Democrat
76,2,76,227,majority_mainstream,skeptical,general_belief_skeptical,able-bodied person | Atheist person | Hispanic person | woman | lifelong Democrat
76,3,76,228,majority_mainstream,mainstream,general_belief_mainstream,able-bodied person | Christian person | Hispanic person | transgender man | lifelong Democrat
77,1,77,229,majority_mainstream,mainstream,general_belief_mainstream,physically-disabled person | Christian person | Asian person | man | lifelong Republican
77,2,77,230,majority_mainstream,skeptical,general_belief_skeptical,able-bodied person | Atheist person | African person | transgender man | lifelong Republican
77,3,77,231,majority_mainstream,mainstream,general_belief_mainstream,able-bodied person | Jewish person | Asian person | non-binary person | lifelong Democrat
78,1,78,232,majority_mainstream,skeptical,general_belief_skeptical,able-bodied person | Atheist person | Caucasian person | non-binary person | lifelong Democrat
78,2,78,233,majority_mainstream,mainstream,general_belief_mainstream,physically-disabled person | Religious person | Caucasian person | woman | lifelong Democrat
78,3,78,234,majority_mainstream,mainstream,general_belief_mainstream,physically-disabled person | Religious person | Hispanic person | woman | lifelong Republican
79,1,79,235,majority_mainstream,skeptical,general_belief_skeptical,able-bodied person | Christian person | Hispanic person | transgender man | lifelong Democrat
79,2,79,236,majority_mainstream,mainstream,general_belief_mainstream,able-bodied person | Christian person | Asian person | transgender man | lifelong Republican
79,3,79,237,majority_mainstream,mainstream,general_belief_mainstream,able-bodied person | Atheist person | Asian person | woman | lifelong Republican
80,1,80,238,majority_mainstream,mainstream,general_belief_mainstream,physically-disabled person | Atheist person | Hispanic person | woman | lifelong Democrat
80,2,80,239,majority_mainstream,skeptical,general_belief_skeptical,able-bodied person | Christian person | Hispanic person | transgender man | lifelong Republican
80,3,80,240,majority_mainstream,mainstream,general_belief_mainstream,physically-disabled person | Christian person | Asian person | woman | lifelong Democrat
81,1,81,241,majority_mainstream,skeptical,general_belief_skeptical,physically-disabled person | Atheist person | Hispanic person | transgender man | lifelong Republican
81,2,81,242,majority_mainstream,mainstream,general_belief_mainstream,able-bodied person | Christian person | Asian person | woman | lifelong Democrat
81,3,81,243,majority_mainstream,mainstream,general_belief_mainstream,physically-disabled person | Atheist person | Hispanic person | transgender man | lifelong Republican
82,1,82,244,majority_mainstream,mainstream,general_belief_mainstream,able-bodied person | Christian person | Asian person | woman | lifelong Republican
82,2,82,245,majority_mainstream,mainstream,general_belief_mainstream,physically-disabled person | Atheist person | Hispanic person | transgender man | lifelong Republican
82,3,82,246,majority_mainstream,skeptical,general_belief_skeptical,able-bodied person | Christian person | Asian person | non-binary person | lifelong Democrat
83,1,83,247,majority_mainstream,mainstream,general_belief_mainstream,physically-disabled person | Atheist person | Caucasian person | man | lifelong Democrat
83,2,83,248,majority_mainstream,mainstream,general_belief_mainstream,physically-disabled person | Religious person | African person | woman | lifelong Democrat
83,3,83,249,majority_mainstream,skeptical,general_belief_skeptical,physically-disabled person | Jewish person | Hispanic person | transgender man | lifelong Republican
84,1,84,250,majority_mainstream,mainstream,general_belief_mainstream,able-bodied person | Christian person | Asian person | non-binary person | lifelong Democrat
84,2,84,251,majority_mainstream,mainstream,general_belief_mainstream,able-bodied person | Atheist person | Caucasian person | man | lifelong Republican
84,3,84,252,majority_mainstream,skeptical,general_belief_skeptical,able-bodied person | Religious person | African person | non-binary person | lifelong Republican
85,1,85,253,majority_mainstream,mainstream,general_belief_mainstream,physically-disabled person | Jewish person | Caucasian person | man | lifelong Democrat
85,2,85,254,majority_mainstream,mainstream,general_belief_mainstream,able-bodied person | Religious person | African person | man | lifelong Republican
85,3,85,255,majority_mainstream,skeptical,general_belief_skeptical,physically-disabled person | Jewish person | African person | non-binary person | lifelong Republican
86,1,86,256,majority_mainstream,mainstream,general_belief_mainstream,physically-disabled person | Jewish person | Caucasian person | man | lifelong Republican
86,2,86,257,majority_mainstream,skeptical,general_belief_skeptical,able-bodied person | Religious person | African person | transgender man | lifelong Democrat
86,3,86,258,majority_mainstream,mainstream,general_belief_mainstream,physically-disabled person | Jewish person | Asian person | non-binary person | lifelong Democrat
87,1,87,259,majority_mainstream,mainstream,general_belief_mainstream,physically-disabled person | Atheist person | Caucasian person | man | lifelong Republican
87,2,87,260,majority_mainstream,mainstream,general_belief_mainstream,physically-disabled person | Religious person | African person | non-binary person | lifelong Democrat
87,3,87,261,majority_mainstream,skeptical,general_belief_skeptical,able-bodied person | Jewish person | Caucasian person | non-binary person | lifelong Republican
88,1,88,262,majority_mainstream,mainstream,general_belief_mainstream,able-bodied person | Religious person | Caucasian person | woman | lifelong Democrat
88,2,88,263,majority_mainstream,skeptical,general_belief_skeptical,physically-disabled person | Religious person | Hispanic person | non-binary person | lifelong Democrat
88,3,88,264,majority_mainstream,mainstream,general_belief_mainstream,able-bodied person | Christian person | Caucasian person | man | lifelong Republican
89,1,89,265,majority_mainstream,mainstream,general_belief_mainstream,physically-disabled person | Religious person | African person | woman | lifelong Republican
89,2,89,266,majority_mainstream,mainstream,general_belief_mainstream,able-bodied person | Jewish person | Hispanic person | transgender man | lifelong Democrat
89,3,89,267,majority_mainstream,skeptical,general_belief_skeptical,able-bodied person | Christian person | Asian person | transgender man | lifelong Republican
90,1,90,268,majority_mainstream,skeptical,general_belief_skeptical,physically-disabled person | Atheist person | Asian person | man | lifelong Democrat
90,2,90,269,majority_mainstream,mainstream,general_belief_mainstream,physically-disabled person | Atheist person | African person | woman | lifelong Republican
90,3,90,270,majority_mainstream,mainstream,general_belief_mainstream,able-bodied person | Jewish person | Hispanic person | man | lifelong Democrat
91,1,91,271,majority_mainstream,mainstream,general_belief_mainstream,physically-disabled person | Christian person | African person | woman | lifelong Republican
91,2,91,272,majority_mainstream,mainstream,general_belief_mainstream,able-bodied person | Jewish person | Hispanic person | woman | lifelong Democrat
91,3,91,273,majority_mainstream,skeptical,general_belief_skeptical,physically-disabled person | Christian person | Hispanic person | transgender man | lifelong Republican
92,1,92,274,majority_mainstream,mainstream,general_belief_mainstream,able-bodied person | Christian person | Asian person | transgender man | lifelong Democrat
92,2,92,275,majority_mainstream,mainstream,general_belief_mainstream,physically-disabled person | Atheist person | Asian person | non-binary person | lifelong Democrat
92,3,92,276,majority_mainstream,skeptical,general_belief_skeptical,able-bodied person | Atheist person | Caucasian person | transgender man | lifelong Republican
93,1,93,277,majority_mainstream,mainstream,general_belief_mainstream,physically-disabled person | Religious person | Asian person | woman | lifelong Democrat
93,2,93,278,majority_mainstream,skeptical,general_belief_skeptical,able-bodied person | Atheist person | Hispanic person | non-binary person | lifelong Democrat
93,3,93,279,majority_mainstream,mainstream,general_belief_mainstream,able-bodied person | Christian person | Caucasian person | transgender man | lifelong Republican
94,1,94,280,majority_mainstream,mainstream,general_belief_mainstream,physically-disabled person | Religious person | Asian person | transgender man | lifelong Democrat
94,2,94,281,majority_mainstream,mainstream,general_belief_mainstream,able-bodied person | Atheist person | Asian person | non-binary person | lifelong Democrat
94,3,94,282,majority_mainstream,skeptical,general_belief_skeptical,able-bodied person | Atheist person | Caucasian person | transgender man | lifelong Democrat
95,1,95,283,majority_mainstream,mainstream,general_belief_mainstream,physically-disabled person | Religious person | Asian person | woman | lifelong Republican
95,2,95,284,majority_mainstream,mainstream,general_belief_mainstream,able-bodied person | Atheist person | Hispanic person | non-binary person | lifelong Democrat
95,3,95,285,majority_mainstream,skeptical,general_belief_skeptical,able-bodied person | Christian person | Caucasian person | woman | lifelong Republican
96,1,96,286,majority_mainstream,mainstream,general_belief_mainstream,able-bodied person | Religious person | Hispanic person | transgender man | lifelong Democrat
96,2,96,287,majority_mainstream,skeptical,general_belief_skeptical,physically-disabled person | Christian person | Asian person | man | lifelong Republican
96,3,96,288,majority_mainstream,mainstream,general_belief_mainstream,able-bodied person | Atheist person | African person | woman | lifelong Republican
97,1,97,289,majority_mainstream,mainstream,general_belief_mainstream,physically-disabled person | Jewish person | Hispanic person | non-binary person | lifelong Republican
97,2,97,290,majority_mainstream,mainstream,general_belief_mainstream,able-bodied person | Christian person | Caucasian person | man | lifelong Republican
97,3,97,291,majority_mainstream,skeptical,general_belief_skeptical,physically-disabled person | Religious person | African person | woman | lifelong Republican
98,1,98,292,majority_mainstream,mainstream,general_belief_mainstream,physically-disabled person | Jewish person | Hispanic person | transgender man | lifelong Republican
98,2,98,293,majority_mainstream,mainstream,general_belief_mainstream,physically-disabled person | Christian person | Asian person | woman | lifelong Republican
98,3,98,294,majority_mainstream,skeptical,general_belief_skeptical,physically-disabled person | Atheist person | Hispanic person | woman | lifelong Republican
99,1,99,295,majority_mainstream,mainstream,general_belief_mainstream,physically-disabled person | Christian person | Hispanic person | man | lifelong Democrat
99,2,99,296,majority_mainstream,skeptical,general_belief_skeptical,physically-disabled person | Christian person | African person | man | lifelong Democrat
99,3,99,297,majority_mainstream,mainstream,general_belief_mainstream,physically-disabled person | Jewish person | African person | transgender man | lifelong Republican
100,1,100,298,majority_mainstream,mainstream,general_belief_mainstream,physically-disabled person | Jewish person | Asian person | woman | lifelong Democrat
100,2,100,299,majority_mainstream,skeptical,general_belief_skeptical,able-bodied person | Atheist person | Hispanic person | woman | lifelong Democrat
100,3,100,300,majority_mainstream,mainstream,general_belief_mainstream,able-bodied person | Christian person | Hispanic person | man | lifelong Democrat
